,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_team,goal_difference
23944,2001-07-30,St. Kitts and Nevis,Jamaica,0,0,SKN Football Festival,Basseterre,St. Kitts and Nevis,False,Draw,0
23945,2001-08-01,Grenada,Jamaica,2,0,Friendly,St. George's,Grenada,False,Grenada,2
23946,2001-08-01,Qatar,Iran,2,1,Friendly,Doha,Qatar,False,Qatar,1
23947,2001-08-01,Saudi Arabia,Macedonia,1,1,Friendly,Riyadh,Saudi Arabia,False,Draw,0
23948,2001-08-02,United Arab Emirates,Iraq,2,2,Friendly,Abu Dhabi,United Arab Emirates,False,Draw,0
23949,2001-08-03,China,Korea DPR,2,2,Friendly,Shanghai,China,False,Draw,0
23950,2001-08-03,Kuwait,Trinidad and Tobago,1,1,Friendly,Shanghai,China,True,Draw,0
23951,2001-08-04,Colombia,Liberia,2,1,Friendly,East Rutherford,USA,True,Colombia,1
23952,2001-08-05,China,Trinidad and Tobago,3,0,Friendly,Shanghai,China,False,China,3
23953,2001-08-05,Cuba,Panama,1,0,Gold Cup qualification,Havana,Cuba,False,Cuba,1
23954,2001-08-05,Kuwait,Korea DPR,1,1,Friendly,Shanghai,China,True,Draw,0
23955,2001-08-05,Saudi Arabia,Qatar,1,2,Friendly,Riyadh,Saudi Arabia,False,Qatar,1
23956,2001-08-08,Iran,Oman,5,2,Friendly,Teheran,Iran,False,Iran,3
23957,2001-08-08,United Arab Emirates,Saudi Arabia,0,1,Friendly,Doha,Qatar,True,Saudi Arabia,1
23958,2001-08-09,Brazil,Panama,5,0,Friendly,Curitiba,Brazil,False,Brazil,5
23959,2001-08-10,Iran,Bosnia-Herzegovina,4,0,Friendly,Teheran,Iran,False,Iran,4
23960,2001-08-10,Qatar,Bahrain,1,1,Friendly,Doha,Qatar,False,Draw,0
23961,2001-08-13,Singapore,Thailand,0,5,Friendly,Singapore,Singapore,False,Thailand,5
23962,2001-08-14,Chile,Bolivia,2,2,FIFA World Cup qualification,Santiago,Chile,False,Draw,0
23963,2001-08-14,Venezuela,Uruguay,2,0,FIFA World Cup qualification,Maracaibo,Venezuela,False,Venezuela,2
23964,2001-08-15,Austria,Switzerland,1,2,Friendly,Vienna,Austria,False,Switzerland,1
23965,2001-08-15,Bosnia-Herzegovina,Malta,2,0,Friendly,Sarajevo,Bosnia-Herzegovina,False,Bosnia-Herzegovina,2
23966,2001-08-15,Brazil,Paraguay,2,0,FIFA World Cup qualification,Porto Alegre,Brazil,False,Brazil,2
23967,2001-08-15,Bulgaria,Macedonia,1,0,Friendly,Sofia,Bulgaria,False,Bulgaria,1
23968,2001-08-15,Czech Republic,Korea Republic,5,0,Friendly,Drnovice,Czech Republic,False,Czech Republic,5
23969,2001-08-15,Ecuador,Argentina,0,2,FIFA World Cup qualification,Quito,Ecuador,False,Argentina,2
23970,2001-08-15,England,Netherlands,0,2,Friendly,London,England,False,Netherlands,2
